,value,location,sample date,measure
14661,"0,3",Kohsoom,28-Jan-01,gamma-Hexachlorocyclohexane
14662,"1,9",Kohsoom,28-Jan-01,Macrozoobenthos
14663,16,Kohsoom,28-Jan-01,Total coliforms
14664,"9,2",Kohsoom,28-Jan-01,Fecal coliforms
14665,"2,4",Chai,17-Feb-01,Water temperature
14666,11,Chai,17-Feb-01,Dissolved oxygen
14667,196,Chai,17-Feb-01,Bicarbonates
14668,"0,35",Chai,17-Feb-01,Ammonium
14669,"0,03",Chai,17-Feb-01,Nitrites
14670,"2,56",Chai,17-Feb-01,Nitrates
14671,"0,02",Chai,17-Feb-01,Orthophosphate-phosphorus
14672,"0,04",Chai,17-Feb-01,Total phosphorus
14673,"24,2",Chai,17-Feb-01,Sodium
14674,"3,4",Chai,17-Feb-01,Potassium
14675,"76,9",Chai,17-Feb-01,Calcium
14676,"14,8",Chai,17-Feb-01,Magnesium
14677,"41,3",Chai,17-Feb-01,Chlorides
14678,51,Chai,17-Feb-01,Sulphates
14679,"0,99",Chai,17-Feb-01,Iron
14680,"0,05",Chai,17-Feb-01,Manganese
14681,15,Chai,17-Feb-01,Zinc
14682,20,Chai,17-Feb-01,Copper
14683,12,Chai,17-Feb-01,Chromium
14684,3,Chai,17-Feb-01,Lead
14685,"2,95",Chai,17-Feb-01,Cadmium
14686,"3,5",Chai,17-Feb-01,Biochemical Oxygen
14687,15,Chai,17-Feb-01,Chemical Oxygen Demand (Cr)
14688,"5,4",Chai,17-Feb-01,Chemical Oxygen Demand (Mn)
14689,"0,07",Chai,17-Feb-01,Anionic active surfactants
14690,"0,01",Chai,17-Feb-01,Atrazine
14691,"0,13",Chai,17-Feb-01,"p,p-DDT"
14692,"0,32",Chai,17-Feb-01,gamma-Hexachlorocyclohexane
14693,"2,16",Chai,17-Feb-01,Macrozoobenthos
14694,"1,6",Chai,17-Feb-01,Total coliforms
14695,"1,3",Chai,17-Feb-01,Fecal coliforms
14696,"0,01",Chai,17-Feb-01,Fecal streptococci 
14697,"2,6",Chai,17-Feb-01,Water temperature
14698,"10,7",Chai,17-Feb-01,Dissolved oxygen
14699,196,Chai,17-Feb-01,Bicarbonates
14700,"0,32",Chai,17-Feb-01,Ammonium
14701,"0,03",Chai,17-Feb-01,Nitrites
14702,"2,64",Chai,17-Feb-01,Nitrates
14703,"0,02",Chai,17-Feb-01,Orthophosphate-phosphorus
14704,"0,04",Chai,17-Feb-01,Total phosphorus
14705,24,Chai,17-Feb-01,Sodium
14706,"3,4",Chai,17-Feb-01,Potassium
14707,81,Chai,17-Feb-01,Calcium
14708,"14,6",Chai,17-Feb-01,Magnesium
14709,"34,5",Chai,17-Feb-01,Chlorides
14710,"58,4",Chai,17-Feb-01,Sulphates
14711,1,Chai,17-Feb-01,Iron
14712,"0,05",Chai,17-Feb-01,Manganese
14713,16,Chai,17-Feb-01,Zinc
14714,20,Chai,17-Feb-01,Copper
14715,6,Chai,17-Feb-01,Chromium
14716,3,Chai,17-Feb-01,Lead
14717,"2,61",Chai,17-Feb-01,Cadmium
14718,"3,3",Chai,17-Feb-01,Biochemical Oxygen
14719,12,Chai,17-Feb-01,Chemical Oxygen Demand (Cr)
14720,"5,2",Chai,17-Feb-01,Chemical Oxygen Demand (Mn)
14721,"0,07",Chai,17-Feb-01,Anionic active surfactants
14722,"0,02",Chai,17-Feb-01,Atrazine
14723,"0,17",Chai,17-Feb-01,"p,p-DDT"
14724,"0,46",Chai,17-Feb-01,gamma-Hexachlorocyclohexane
14725,"2,28",Chai,17-Feb-01,Macrozoobenthos
14726,"1,3",Chai,17-Feb-01,Total coliforms
14727,"0,92",Chai,17-Feb-01,Fecal coliforms
14728,"0,02",Chai,17-Feb-01,Fecal streptococci 
14729,"2,4",Chai,17-Feb-01,Water temperature
14730,"11,3",Chai,17-Feb-01,Dissolved oxygen
14731,196,Chai,17-Feb-01,Bicarbonates
14732,"0,28",Chai,17-Feb-01,Ammonium
14733,"0,04",Chai,17-Feb-01,Nitrites
14734,"2,73",Chai,17-Feb-01,Nitrates
14735,"0,02",Chai,17-Feb-01,Orthophosphate-phosphorus
14736,"0,04",Chai,17-Feb-01,Total phosphorus
14737,"28,8",Chai,17-Feb-01,Sodium
14738,"3,4",Chai,17-Feb-01,Potassium
14739,"72,9",Chai,17-Feb-01,Calcium
14740,"14,8",Chai,17-Feb-01,Magnesium
14741,"34,5",Chai,17-Feb-01,Chlorides
14742,"55,1",Chai,17-Feb-01,Sulphates
14743,"0,8",Chai,17-Feb-01,Iron
14744,"0,03",Chai,17-Feb-01,Manganese
14745,33,Chai,17-Feb-01,Zinc
14746,22,Chai,17-Feb-01,Copper
14747,16,Chai,17-Feb-01,Chromium
14748,8,Chai,17-Feb-01,Lead
14749,"3,43",Chai,17-Feb-01,Cadmium
14750,"4,5",Chai,17-Feb-01,Biochemical Oxygen
14751,17,Chai,17-Feb-01,Chemical Oxygen Demand (Cr)
14752,"5,9",Chai,17-Feb-01,Chemical Oxygen Demand (Mn)
14753,"0,07",Chai,17-Feb-01,Anionic active surfactants
14754,"0,01",Chai,17-Feb-01,Atrazine
14755,"0,09",Chai,17-Feb-01,"p,p-DDT"
14756,"0,37",Chai,17-Feb-01,gamma-Hexachlorocyclohexane
14757,"2,23",Chai,17-Feb-01,Macrozoobenthos
14758,"1,6",Chai,17-Feb-01,Total coliforms
14759,"0,03",Chai,17-Feb-01,Fecal coliforms
14760,"0,005",Chai,17-Feb-01,Fecal streptococci 
14761,"1,4",Kohsoom,18-Feb-01,Water temperature
14762,"9,2",Kohsoom,18-Feb-01,Dissolved oxygen
14763,238,Kohsoom,18-Feb-01,Bicarbonates
14764,"1,4",Kohsoom,18-Feb-01,Ammonium
14765,"0,03",Kohsoom,18-Feb-01,Nitrites
14766,"5,4",Kohsoom,18-Feb-01,Nitrates
14767,"0,13",Kohsoom,18-Feb-01,Orthophosphate-phosphorus
14768,"0,17",Kohsoom,18-Feb-01,Total phosphorus
14769,"37,2",Kohsoom,18-Feb-01,Sodium
14770,"5,6",Kohsoom,18-Feb-01,Potassium
14771,78,Kohsoom,18-Feb-01,Calcium
14772,24,Kohsoom,18-Feb-01,Magnesium
14773,64,Kohsoom,18-Feb-01,Chlorides
14774,101,Kohsoom,18-Feb-01,Sulphates
14775,"0,89",Kohsoom,18-Feb-01,Iron
14776,"0,13",Kohsoom,18-Feb-01,Manganese
14777,94,Kohsoom,18-Feb-01,Zinc
14778,26,Kohsoom,18-Feb-01,Copper
14779,18,Kohsoom,18-Feb-01,Chromium
14780,3,Kohsoom,18-Feb-01,Lead
14781,"8,05",Kohsoom,18-Feb-01,Cadmium
14782,"8,8",Kohsoom,18-Feb-01,Biochemical Oxygen
14783,"14,4",Kohsoom,18-Feb-01,Chemical Oxygen Demand (Cr)
14784,"9,6",Kohsoom,18-Feb-01,Chemical Oxygen Demand (Mn)
14785,"0,06",Kohsoom,18-Feb-01,Anionic active surfactants
14786,"0,03",Kohsoom,18-Feb-01,Atrazine
14787,"0,14",Kohsoom,18-Feb-01,"p,p-DDT"
14788,"0,45",Kohsoom,18-Feb-01,gamma-Hexachlorocyclohexane
14789,2,Kohsoom,18-Feb-01,Macrozoobenthos
14790,"0,25",Kohsoom,18-Feb-01,Total coliforms
14791,"0,04",Kohsoom,18-Feb-01,Fecal coliforms
14792,"3,6",Somchair,18-Feb-01,Water temperature
14793,"10,3",Somchair,18-Feb-01,Dissolved oxygen
14794,184,Somchair,18-Feb-01,Bicarbonates
14795,"0,41",Somchair,18-Feb-01,Ammonium
14796,"0,03",Somchair,18-Feb-01,Nitrites
14797,"2,9",Somchair,18-Feb-01,Nitrates
14798,"0,13",Somchair,18-Feb-01,Orthophosphate-phosphorus
14799,"0,17",Somchair,18-Feb-01,Total phosphorus
14800,"49,2",Somchair,18-Feb-01,Sodium
14801,"5,8",Somchair,18-Feb-01,Potassium
14802,89,Somchair,18-Feb-01,Calcium
14803,"14,6",Somchair,18-Feb-01,Magnesium
14804,"82,7",Somchair,18-Feb-01,Chlorides
14805,"51,1",Somchair,18-Feb-01,Sulphates
14806,"4,53",Somchair,18-Feb-01,Iron
14807,"0,38",Somchair,18-Feb-01,Manganese
14808,46,Somchair,18-Feb-01,Zinc
14809,25,Somchair,18-Feb-01,Copper
14810,37,Somchair,18-Feb-01,Chromium
14811,4,Somchair,18-Feb-01,Lead
