ID,Drug Name,Targets,Z Score,Count
"1816","Fulvestrant","ESR","-3.1244830297610688","281"
"1054","Palbociclib","CDK4, CDK6","-3.0293297898107991","281"
"1780","GSK3337463A","NIK","-2.9899898688048419","281"
"1615","CZC24832","PI3Kgamma","-2.7460305351333596","281"
"1706","AZD5153","BRD4","-2.7248667122433083","281"
"1802","Zoledronate"," ","-2.6698474573453423","281"
"1047","Nutlin-3a (-)","MDM2","-2.6391920172317027","281"
"1624","I-BET-762","BRD2, BRD3, BRD4","-2.5434721969515404","281"
"1634","AGI-6780","IDH2 R140Q mutant","-2.5413898851163448","281"
"1720","AZD5991","MCL1","-2.5246020203156592","281"
"1084","Rapamycin","MTORC1","-2.3662702499090988","281"
"2002","N30652-18-1","","-2.2720036810408875","281"
"2045","AMG-319","PI3K (beta sparing)","-2.2673245488808647","281"
"1776","GSK2256098C","FAK1","-2.2312882799590392","281"
"1375","Temozolomide","DNA alkylating agent","-2.2192343646639761","281"
"1928","I-BRD9","BRD9","-2.2177105154682772","281"
"1626","OTX015","BRD2, BRD3, BRD4","-2.141598324821457","281"
"2173","PFI-1","BRD4","-2.1192984433730775","281"
"1625","RVX-208","BRD4","-2.1108334047307227","281"
"1807","Carmustine","","-2.077633114556924","281"
"1581","Bromosporine","CECR2, BRD2, BRD4, BRD9","-2.0733536797428833","281"
"1069","EHT-1864","RAC1, RAC2, RAC3","-2.0661480796992908","281"
"1999","N25720-51-A1","","-2.062953199581655","281"
"2172","JQ1","BRD2, BRD3, BRD4, BRDT","-2.0545621113877361","281"
"1622","Wnt-C59","PORCN","-2.0473190171289204","281"
"1784","LMB_AB2","GADD34","-2.0458968120788943","281"
"1826","50869","","-2.038643430008956","281"
"2158","CPI-637","EP300","-2.0067597131204575","281"
"1926","GNE-317","PI3Kalpha","-1.9977552083544192","281"
"1785","LMB_AB3","PPP1R15B","-1.9934544351670733","281"
"1708","CDK9_5576","CDK9","-1.9874161324152408","281"
"1836","150412","","-1.981553901782656","281"
"1578","Leflunomide","Pyrimidine synthesis inhibitor","-1.9571807427736627","281"
"2047","Ulixertinib","ERK1, ERK2","-1.9290047261451921","281"
"1821","765771","","-1.9246368520916206","281"
"1852","LY2109761","TGFB1","-1.9195998307745863","281"
"2038","UNC0638","G9A, GLP","-1.9087089153010868","281"
"1629","ML323","USP1, UAF1","-1.9062616603289149","281"
"1033","Vismodegib","SMO","-1.9022826665541641","281"
"1618","GSK2606414","PERK","-1.8765963982701017","281"
"1239","YK-4-279","RNA helicase A","-1.8689766367743883","281"
"1782","GSK2830371A","PPM1D","-1.8639793970790344","281"
"1849","Sabutoclax","BCL2,  BCL-XL,  BFL1, MCL1","-1.836436767681721","281"
"1845","Schweinfurthin A","","-1.8321311315397328","281"
"1020","Lenalidomide","CRBN","-1.828236191438078","281"
"1614","WZ4003","NUAK1, NUAK2","-1.8204341520864842","281"
"1024","Lestaurtinib","FLT3, JAK2, NTRK1, NTRK2, NTRK3","-1.8062315727350187","281"
"1620","PFI3","Polybromo 1, SMARCA4, SMARCA2","-1.8025565020720571","281"
"1925","GDC0810","ESR1, ESR2","-1.7816432665654616","281"
"1200","Fulvestrant","ESR","-1.7812908862067824","281"
"1811","Dactinomycin","RNA polymerase","-1.7810711678400528","281"
"1051","Alisertib","AURKA","-1.7780606662928375","281"
"2499","N-acetyl cysteine","Metabolism","-1.7683137819791801","281"
"2359","GSK2830371","WIP1","-1.7639890956074118","281"
"1016","Temsirolimus","MTOR","-1.7560754896665571","281"
"1059","AZD8055","MTORC1, MTORC2","-1.7521635550991148","281"
"2003","N29087-69-1","","-1.7355219966209037","281"
"1815","Dacarbazine","CP11A","-1.734439977865325","281"
"1732","TAF1_5496","TAF1","-1.7310040181666606","281"
"1783","LMB_AB1","ADRA1A, ADRB1","-1.7196643403394301","281"
"1709","CDK9_5038","CDK9","-1.7094180690813583","281"
"1057","Dactolisib","PI3K (class 1), MTORC1, MTORC2","-1.7062111143184242","281"
"1401","AZD5438","CDK2","-1.7020092745431032","281"
"1594","OSI-027","MTORC1, MTORC2","-1.6893232483826484","281"
"1093","GSK1904529A","IGF1R, IR","-1.6813236827197306","281"
"1933","P22077","USP7, USP47","-1.6698498646945386","281"
"1199","Tamoxifen","ESR1","-1.6684972077812346","281"
"1250","AZ960","JAK2, JAK3","-1.6653009589040675","281"
"1866","BDP-00009066","MRCKB_HUMAN","-1.6599555934651167","281"
"2145","PBD-288","","-1.658073558100043","281"
"1806","Oxaliplatin","DNA alkylating agent","-1.649049501618346","281"
"1931","MIRA-1","TP53","-1.6453169777656467","281"
"1632","Ribociclib","CDK4, CDK6","-1.6437704331244545","281"
"1809","Teniposide","","-1.6268710798513644","281"
"1840","630600","","-1.6027840839323579","281"
"1068","Obatoclax Mesylate","BCL2, BCL-XL, BCL-W, MCL1","-1.5704354781650212","281"
"1133","Serdemetan","MDM2","-1.5643212424428206","281"
"1441","AZD2014","mTORC1, mTORC2","-1.5634578947334141","281"
"1712","Eg5_9814","KSP11","-1.5580667793681513","281"
"1529","Pevonedistat","NAE","-1.55405487158388","281"
"1175","Rucaparib","PARP1, PARP2","-1.5457770931801955","281"
"2010","HKMTI-1-005","","-1.5390329201411648","281"
"1635","Picolinici-acid","Inflammatory related","-1.5355100153347154","281"
"2159","UNC0379","SETD8","-1.5146526413074966","281"
"1073","5-Fluorouracil","Antimetabolite (DNA & RNA)","-1.5144440761660514","281"
"1734","VSP34_8731","VSP34","-1.513767703157006","281"
"1621","PCI-34051","HDAC8, HDAC6, HDAC1","-1.5127889422792045","281"
"2360","THR-101","Mutant RAS","-1.5047952345520339","281"
"1927","GSK2578215A","LRRK2","-1.503447569916216","281"
"1089","Oxaliplatin","DNA alkylating agent","-1.4937844597822745","281"
"1053","MK-2206","AKT1, AKT2","-1.492216436614243","281"
"2149","CT7033-2","KDM4A, KDM4C, KDM4E, KDM3A, KDM6B","-1.4918158311814163","281"
"1855","KRAS (G12C) Inhibitor-12","KRAS (G12C)","-1.4901544817968362","281"
"1819","Docetaxel","Microtubule stabiliser","-1.4893124831303663","281"
"1026","Tanespimycin","HSP90","-1.4881141662582758","281"
"1004","Vinblastine","Microtubule destabiliser","-1.4801989257837798","281"
"2011","ICL-SIRT078","SIR2","-1.475003699543509","281"
"1810","Mitoxantrone","TOP2","-1.4665448050516274","281"
